,Sentiment,Tweet
37,negative,sikat abiss lahh orng2 sial kaya gin pimpin negara hormatin jangan mentang2 president sembarangin marah hina pimpin harap tindak hukum orng ini
38,negative,jijik lihat tingkah upil mudah2an cepat tidur
39,negative,edan ini udh makan uang rakyat tidur
40,negative,manusia laknat mati apain
41,negative,sakit otak hati mah sudah nurani urat malu pajak loh ngegaji orang2 gila hormat
42,negative,anak babi bangsat ken sumpel timah panas mulut biar modar
43,negative,ken sumpel timah panas mulut anak babi pesek buruk rupa
44,negative,hai anak bangsat babi pesek buruk rupa keriting ken penggal leher sampai putus lumayan makan tidak setia
45,negative,ratu pelakor jagat raya dimana2 lonte mantri hutan dan lurah ngerasa lonte mantri hutan dan lurah dikit
46,negative,mahhhh temu buah ranum buah busuk deh tahu busuk manah mentok2nya mah gitu pelakor
47,negative,ah manda mah gatel liyat cowo dikit langsung sosor begok aje sama manda kegatelan cewek
48,negative,amanda muka tante umur tapi muka boros dasar cabe jujur mah kgk suka sama ini haltis
49,negative,astagah suka sama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,negative,alah laki laki jaman skrg sm bejat ustad seperti seperti gila sm perempuan istri stju sm bilang ustazah msuk surga bkan krna poligami masih banyak bisa jadi akhlak bisa masuk surga yaa smoga perempuan perempuan pelakor luar sna azab ampun hidup gk selamat dunia akhirat
51,negative,gilaaaaa pelakor bnget laki2 gatal alas poligam woiii mikir pakai otak haduh pikir pintar tahu agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri korban sbg seorg imam gagal mmpertahankan rumah tangga coreng nama sendiri smua suka skrg benci
52,negative,biasa pelakor lbh hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki sudah sama2 gatel cocok wes
53,negative,lama2 tidak suka deh sm ini ertong caption ig story bicara mlu jadi ambigu nilai sudah begitu kaya zholimi salahinnya lawan jangan bicara status ah dewasa
54,negative,pikir manusia bodoh eehhh tante ibu oma empo otak picik bngt juga manusi larang emang dunia larang ngungkapin unek2 stupid human
55,negative,heran deh ngatain via baperan wajib ajar dese baper udin muak munafik sok an dese kabar baperan laki nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,negative,komen via nyinyir melulu aduh kyak nyinyirin parah sok benar mah gitu pdhal media sosial hak instagram instagram nyinyir pakai ig
57,negative,pikir manusia bodoh eehhh tante ibu oma empo otak picik bngt juga manusi larang emang dunia larang ngungkapin unek2 stupid human
58,negative,ngatain nyindir netijen goblog banyak masyako
59,negative,didik ortunya nagita bagus heran dengan balajaer nagita yah rugi sm junjunganny kenapa benci bodoh asli
60,negative,pdhl kilometer kampung loh pakai kerudung mulut cuihh
61,negative,belajaer tuh hahahaha bela artis ampe begitu manusah2 begoh
62,negative,iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat liaaat liat coba telaah deh kasih tahu contoh artis better eh jawab cocok lah
63,negative,sok high class lihat komenmu artis beda2 suka curah hati ig curah hati teman curah hati tuhan ngak trus mulut situ maju otak mikirnya curh
64,negative,bodoh netizen kontra sm postingan via bakajaer kali mas ih bodoh piara tertawa
65,negative,emg artis komando artis indo ny urus prestasi sosmed ny melulu isi jadi jatoh kampung
66,negative,knot ya kaya agnes mau banyak harga ny tapi kampung beda am
67,negative,munafik bicara curah hati sosmed kampung kitu keleusss wkkwkww lebih baik via artis cantik bisa nyanyi lah lbh kampung wkwkwkwkw
68,negative,wawan zzzzz memang artis tmn dikit dikit att hahaha curah hati sosmed kampung
69,negative,lemes mulut berani ststus sudah gitu tulis sengaja biar baca takut kali labrak mmmm artis kampung wajib ajar
70,negative,main main jawa timur biar begok
71,negative,ngatain nyindir netijen goblog banyak masyako
72,negative,sudah nunjukin karya situ pny karya karya nyinyir hidup via tolol
73,negative,bilang fansnya via aduh nantangin ini anak tolol anak norak jarang belai
74,negative,yutub aplikasi tau youtube tahu seseorg bisa dapat hasil salah satu dr youtube loh mreka juga bayar banyak video mreka sekolah benar deh biar pinter generasi muda
75,negative,suka gangerti deh yaa via vallen status apa sangkut pautin sama att melulu att fansnya jelek sangkut pautin melulu juga lama gerah kali
76,negative,jujur ini bagus tidak oplas tu foto belum dn oplas dioplas muka aneh kyknya gagal oplasnya
77,negative,noraaak abiiis kebel emas astrazeneca pamer aplg main berlian ciiinnnnn
78,negative,before and after pasca oplas ngefek tetep jelek dan rem muka ahahahhaha
79,negative,salfok muka sumpah jelek oplas model failed
80,negative,norak benar gaet jahat
81,negative,najis di philipine kali di bangga jadi usak moral komando bangga najis liat cukup di komen ny pngn ngetop lewat nitezerrre wkwkwk ngarep laku
82,negative,bingung jujur media rebut ngeliput kayak cuman net doang media informasi waras
83,negative,jedun becus perempuan hormat becus perempuan cerdas becus perempuan cari suami sah suami becus perempuan hindar narkotika psikotropika dan obat larang becus perempuan jaga nama moga perempuan kayak dunia jedun
84,negative,cewek bgni hrsnya gosong jadi abu bakar pabrik viral kemarin tu bnr2 slain brguna gda otak cm modal ngangkang terus gebet laki terus bangga ngomong-ngomong emg instastory nyindir bin tua mah ehhh at least biar becus jadi prewi tapi becus cuii jadi emak bukti anak banyak terus smua profesional emaknya drpd bapak
85,negative,hahaha kasi becus rem ngerebut laki biar kata perempuan dasar perempuan sadar ente cuy
86,negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami kaya
87,negative,ih becus makrum becus ngrebut suami he
88,negative,eeee lacur situ becus jadi brempuan emang becus sampah iya edeuuuuuh lonte lonte
89,negative,biarin puas puasin selagi deseu brasa muda nanti deh tua nyaho karma
90,negative,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,negative,kaya becus jadi permpuan yng becus jadi perempuan komando suka sm laki orng heheh
92,negative,gk becus tuh loh jedun hidup bisa ngerusak kbhgiaan mau hidup serba mewah tapi krja mlh morotin laki karma pasti akn mnghampirimu
93,negative,suka sm ini idupnya banyak ribut
94,negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami kaya
95,negative,nama ny plagiat plagiat laku tapi tetep ajah cipta dari hasil plagiat wkwkwkwk mah tidak mau dwngerin ajah udh pngen muntah
96,negative,dasar plagiat kreatip memalukab
97,negative,bego bilang apa yaaa lirik cinta gitu lagu bener2 tolol ayu gapunya kuping ya dipermasalahin nada
98,negative,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu seperti ayuting2 hidup penuh drama murah
99,negative,japok gateeel emang uda main mamad sampai jessica dimusuhin deddy corbuzier jijik japok semenjak nagita undang nagita cerita panggung
100,negative,malu buk bicara pelakor emang ibuk sudah pelakor tahu ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
101,negative,kerdus mulut busuk sampah makan
102,negative,tai gedein bagus pupuk jngan banyak bicara bodoh ini cewek kenapa bawa2 suku
103,negative,elo artis papan blenyek belagu artis kga populer sekalu hahaha
104,negative,anang muka kaya babiii gitu demenin jijikk
105,negative,suka ayu ting ting parah ngejudge hati otak manusia kurang lebih asa enak menjudge kaya sudah sempurna
106,negative,pantes panggil ustad munafik ceramah laku sndr menzolimi istri sah dengan poligami diam2 kasihan istri pertama tahu mantri hutan dan lurah istri hadeh masih manggil buat ceramah nama bodo
107,negative,biadab anak bully mampusin
108,negative,dasar anjing tuh cowok berani cowok one by one lemah dasar yah cowok2 jaman skrg casing doank cowok nyali lebih2 banci
109,negative,iya kasi micin usah produk micin iklan masak tambah micin biar sedap netizen sudut mecin bodoh ganggu jiwa ngemil micin
110,negative,wahh jngn2 vidio baju norak bngtt ayuu murahaan
111,negative,bego
112,negative,edit ampun mommy lambe habis gosib pelakor
113,negative,yah admin golong konsumsi mecin pria idam lain pcc otak rusak min
114,negative,govlok prcya ayu slgkuh sama rafi bukti rafi sama gigi skrg baek2 ktamu ayu pelakor suami di rebut woyy skrg ayu suami fikir pke otak mkanya jangan kbanyakan micin jadi govlok
115,negative,hoy baris sakit hati jijikk fans billy mah alhamdulillah billy putus manusiaa buluk ituu tunggu lama2 akhiry putus kobil juga jijik ini
116,negative,ngerasa cinlok babang anthony ketemu set boy alah aku ajaaa dumang cinlok sok2 bilang cinlok nama bodoh wajib ajar netizen bilang ratu cinlok nyata emang marah resiko artis hahahhaa pinter2 cari alas hahahahaha
117,negative,noh urus tu kuin biar gatel nempel2 sama laki orng masyarakat udh tahu kali japok gundik janda gatel udh nyata begtu anak sholehah agama kuat kuliah agama cma dapat 1 agama kuat tapi hamil
118,negative,bilang tu kuin gesek grepe sama lakik orng mantri hutan dan lurah udh hamil nikah kegatelan janda
119,negative,please bela pelakor hukum muljem karena uda tega recut suami sahabat jalan sanksi sosial valakor mesti benci karena biar valakor indonesia biar musnah sem
120,negative,najis muakk jijik pelakor jijik
121,negative,moga pelakor2 kena karma moga karma tinggal istri bwrjuang dengan dr nol tapi sukses selingkuh sok jadi kuasa istri
122,negative,sedih skrg ngamen kawin mantan istri mahhhh pesawat jet bhay pelakor dan botakbego
123,negative,heeehh pelakornya yaaaakkk ngapa emosi situuu kenal berani pakai akun asli pantes pakai akun bodong ngerebut laki diem2 ceplos yak pakai bodong tertawa gueeee lucu
124,negative,wkwkwkwk udh laku jadi nyanyi dhajatan lonte pelakor
125,negative,wakakak cerita seperti gituu ajar jangan sampai ini swamik swamik milih pelakor drpd istri hancuuurr bookk bohong deh kelompok remaja kismin nyungsep emang ngatur rezeki tu tuha
126,negative,cwenya bego cwonya pinter emg laki kaya macho gitu plus kayak jago suka rayu maennya gesit ulala
127,negative,bodoh sedang apa depok komen hidup bahagia suka hujat hidup artis ayu pengaruh emang dasar benci ayu
128,negative,mah lihat main prasangka kayak haters kayak dukun dukun titis dajjal sok pinter otak kosong maaf ye bala nabi muhammad percaya udh ditunjukkin 4 saksi bukti
129,negative,ku sepet baca koment fans ubul empang minggir woy rusuh ini jaer amis jijik sumpah soal enji sm cewek ttp bala jaer nyampah ribut
130,negative,enji hart males jijik laki model mah tanggung jwbnya ayu bunting tinggalin anak akuin skrg anak udh nongol bilqis cantek eh sampek bini ngeposting enji kangen anak najonggg jijik betoll deh deh min bahas laki hart panutan ambil
131,negative,bego percaya diri bicara bilang benar bukti tidak lihat pinter jatohnya bego
132,negative,bilang enji ganteng bebas slingkuh bego kali ganteng bau menyan gada ganteng ganteng banyak gaya seperti mantan bini depok
133,negative,sebenarnye cocok enji att gateeeel hahah pantesan tongtong temu dengan enji udh hukum alam jodoh cermin entong hrsnya bekaca dengan biar sadar tapi teryata otak 1 tetep tahan jadi skrg mlh guatelnye seperti enji hah
134,negative,oalaahhh pelakor laki juga kegatelan tapi nama laki kucing ksh ikan jaer gratis kga nolak wkwkkwkw
135,negative,laki2 sis suka pecun2 murah prempuan baik2 jilbab atau pintar enji2 downgrade dangdut kelas prempuan jilbab ehh milih perek culun jelek selera
136,negative,motorninja sombong mobil lamborgini wae
137,negative,bodoh kali kaget
138,negative,usa pakai anjing babi balas gitu wkwk
139,negative,kemarin harga karya bilang jelek aduh penganten perempuan kenyang yah ampe kembung gitu perut
140,negative,percaya gimik raffi gigi dn att att serta hujad dn anak ny hujad kesini tonton bodohin publik kasihan penghujad ayu pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
141,negative,benar gimmick bodoh ayu rating dan popularitas berani taruhin harga nilai buruk masyarakat
142,negative,susah otak diemvang mah rusuh lapak
143,negative,najiiisss kayak dese gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
144,negative,iyak kaa hahahahah geli gasih att ih kampung habis
145,negative,joget ngakakkk anjirrrr kampung
146,negative,bagus lah otak kayak mantri hutan dan lurah maluin ibu tong akun asli pakai tu nama bego
147,negative,bego mah beri contoh buruk anak pakai emg dugem bawa anak bego - - jaman sudah texas jamin jam anak juga udh texas ngerugiin ya sudah sewot
148,negative,wanita jahiliyah lesbi skrg udh py pacar kasi anak kemarin ksh bencana slnya tega misahin anak dr ktakutan anak masuk islam pdhl bp pernah nuntut anak peluk islam udh ksh nikmat anak 3 masih nakal
149,negative,emang kador artis beneran komen tolol sumpah kenal nilai artis hahaha indo juga tuju kador artis tapi celebgram dr kampung tahu beda artis dengan selebgra
150,negative,hahahaaaa terus tolol pakai tanya kador banci tidak belum kenal wkwkwkwkw eh juga nilai kador banci beneran dr gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok tu
151,negative,maklumin shaaay fans gatis keras otak bebel realita juga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamad pdhl jadi mamad gede ya ph dan
152,negative,bee idih najong tag2 nimbrung seperti mujaer kenal bawa2 nama ayu ting ting sm nagita aduh bego piara kasihan
153,negative,langsung bilang maksud klu gin nama munafik
154,negative,jedar emg muka 2 kali depan belakang busuk mulut seperti banci cucoklah 2 banci tu
155,negative,amit amit deh jahat jilat bohong pelakor jijik
156,negative,wkwkwkwk allah tuhan ku kenapa munafik ini tapi sok suci mulan jamela ayu ting2 ngikuti jejak wkwkwk
157,negative,dulu pelakor sombong karena brhasil dapetin botak smpe mnceraikan bunda maya skrg hdp ny mkin anjlok bunda maya sring jelong2 kluarnegri
158,negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
159,negative,lina2706 hemmmm capekmiskin sist skrg blik kelompok remaja jadi artis juga laku deh karma tu dr sirik nyinyirin nyonya tuh bantuin jual cireng tuh cilok tuh untun libur monaco bromo trus
160,negative,mau tahu urus sm nyonyiah jongos memang tetehlu pas hamil peak udeh dinikahin brojol anak baru sirih memang lonteeeee kelas akun jamahliur junjung he
161,negative,eh jongos cba duluan tanya sm memang nyonyiah gembar gembor sudah nikah ada nyonyiah aku udeh nikah dr tetehlu lonte perempuan eksperimen wanita tuna susila brojol aku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji tertawa lonte tolak lupa xixix
162,negative,currr bunmai sudah nikah tapi janda janda suami rampas mulan jameela jijik mulan jameela belum rumah tangga bunmai hancur sudah berani bilang dan suami aduha udh wanita be
163,negative,lina2706 lucu sist lonte bela2 mati2an goblok pelihara bayar begitu muljamban sampai account maia nikah belum nikah urus situ nyinyir sirik
164,negative,yaela muljem kyak stu bner tidak inget udh ngrusak kbhagian bego di prtahanin ya gin
165,negative,lakik doyan banci banci kawinin banci jijik
166,negative,comment lihat berapa guna medsos bodoh bunyi situ sehat pakai hijab mas nyinyir
167,negative,mantri hutan dan lurah tuh kerudung sayang ibadah sholat drpd nyinyirin dandan udh sok suci mulut kaya sampah
168,negative,baca arti dr comment sudah kerdus bodoh bilangin tua besok masak pakai mecin jadi sudah kerdungab sesuai mulut besok makan salmon besok deliv rumah
169,negative,maaf muka jelek attitude buruk spesialis plagiat dan tahu
170,negative,otak sekolahin resiko sudah upload sosmed dapat bincang netizen public figure otak
171,negative,artis kampung wkwk
172,negative,iyaaa pacar sudah nikah norak eloo risih emang jangan aplod perhati followers lumayan sebentar bawa norak
173,negative,ya ampun pnyanyi dangdut tenar sombong bangt bacot pngn cari sensasi kmpungan bangt deh amit amit bool komando di instastory
174,negative,waaaaoooo sopan bahasami kelas heeeehh repot sama hidup siapahh live nampilin hal2 nggilanikk jijik liat pantes dikomen now watching dikomen videoin pribadi sama rumah nambah niy ertong pny attutude kampung
175,negative,norak kayak malu bilang serah sudah simpan foto bagi semua lah pamer resiko nyinyir insecure harus pamer2 gitu biar erti udh py pacar dipamer2 pantat kampung
176,negative,kok marah sehhh dasar wanita kampung
177,negative,kampung artis numpang tenar gara2 muka katy perry doang
178,negative,susah artis kampung
179,negative,ah min lama2 suka akun ini berita basi lihat min kellen amora dateng pakai jingkrak2 saring min biar berita blunder posting tu kd sudah posting videon kellen sama amora joget2 sama arsya arsyi
180,negative,iya kilometer bening lewat bening buluk nelen apa komen kaya gin surup
181,negative,ngefans kagum lihat deh tapi lihat anak jelek buluk kan hermansyah kutuk timpa bunda kd untung allah swt ganti amora adik gemezzzzzzz lihat cocok anak artis class bunda kd
182,negative,emang dasar anak lebih urus pribadi umbar biar blow up hadehh guna whatsapp sms or telepon suka aneh
183,negative,coba lihat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
184,negative,gagal fokus dengar suara kok jengkel dengernya maaf cuman manusia jengkel
185,negative,muljem bicara blepot nyadar idup enak pakai rebut laki
186,negative,lucu kata2 bawa2 tuhan deh pepet tahu rusak rumah tangga ibarat roboh bangun masjid bayangin dosa mu nasi deh jadi bubur moga bahagia dunia
187,negative,iyah benar rubah pandang tuhan setan mikirrrr suami majikan embat
188,negative,giling mulan jalang kasih ceramah hahahaha dasar cireng tahu ngaca cireng ceramah sok2 seperti pahlawan siang biar teman sama ter seperti selpii
189,negative,pandang tuhan jelek rebut suami tuh mulia tuhan
190,negative,karena sejati setan wujud manusia karena kerja setan goda manusia
191,negative,tidak baca netizen nyesel bisa nimpuk telor mulan ketawa baca karena wakil sedang apa buang2 wktu ketemu mutu dng mulan masih untung nyempet2in bisa nuli biar nyadar tuh pelakor harga lebih baik ketemu baik2 seperti bunmai tular aura positif
192,negative,editanx paraaaahh oplas laaah nyai drpd ngedit2 begini hahaa knot maluuu
193,negative,jelek lecek bantet
194,negative,gin ken tenar ampuuun mantri hutan dan lurah anak yah kasi
195,negative,heran ibu kenapa pakai sama an pesbu ny bederet skandal bertubi2 gk mantri hutan dan lurah ny muka tembok faedah ny acara manusia kardus
196,negative,wey bodoh bedain vape shisha sm rokok ngerokok pakai acara aku
197,negative,jijik liat kaya ulet bulu kluget2 gitu hihihi ampe sgitunya ken kenal
198,negative,jarang belai anjing muka murah bangetttt najisss
199,negative,alycia iya sist jijik liat sok suci ngatain malu artis papan otak fikir bicara tahu bngt gada wibawa emang nyadar tahu komentar manusia gada
200,positive,sabar yaa insya allah buka pintu syurga halang api neraka tua
201,positive,lagu baru tata kisah rumah tangga tata tata bener2 sayang get suami syukur baik moga awet
202,positive,komen sedih ketawa2 iya deh sakit sm pasang smpe berlarut2 sedang apa sedih ampe depresi serahin sm allah bawa bahagia meski sakit senyum2 wajah tapi hati tahu senyum bisa jadi menetralisir kondisi hati puruk pepatah bilang bahagia jangan trllu bahagia sedih jangan trllu sedih imbang biar gila
203,positive,suka pasang moga gigi raffi sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amiin
204,positive,jemima anak angkat celine eleeya anak hubung celine dirly haru tahu jemima anak panti asuh rawat wajib ajar stefen pilih celine karena hati
205,positive,lucu bilang stefan menghabiskn muda wkwk umur mah muda muka baby syukur bonus celinenya dulu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo tnggung jwabnya
206,positive,bawa2 keenan raisa sudah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jadi raisa hamish sama2 untung pasang suami istri tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
207,positive,raisa cantik yaaa artis tonjol nikah tuh mewah sudah cantik sederhana sempurna
208,positive,karena syudah cantik dandan heboh untuk buat cantik makeup simple gitu pesona hamish klepek2
209,positive,bagus cari ilmu mana suami didik
210,positive,sukak cewek cantik kmauan blajarnya
211,positive,yaampun artis benar benar good attitude layak panutan kuliah negri tapi karena bakti suami pilih kuliah wilayah suami salut
212,positive,semangat batman va support karena manusia salah bahas pliis karena sudah 2
213,positive,ya udh salam kenal ya mbk neng kenal sm mbk sbagai manusia ingetin ya sbagai manusia harus tahu jangan sombong digedein mentang2 deh jadi artis tertawa ya udh mbk pergi ya dari komen di foto ini nnt jadi korban dy sel
214,positive,keren yaaa sederhana pancar sukak sm presiden
215,positive,presiden embel gelar bangga
216,positive,proud of you indonesia god bless indonesia
217,positive,amazing bngt miss national costume kereenn bangga sama budaya indonesia
218,positive,bangga pasti
219,positive,proud of you kak dea patut bangga
220,positive,suka sm pidatox dy pembawaanx bgtu elegan dan brwibawah pntas mmg dy mdptkan salut
221,positive,percaya kak nik jujur semangat kak nik hebat
222,positive,juga benci nikmir salut sama munafik artis maaf image dpan sok sok aniaya dan jual air nikita real sygnya msyarakat cendrung superfisial
223,positive,cantik alami bedak tebel gaya bak tante2
224,positive,cantik gagah mudah lancar dampe
225,positive,cantik tampil dewasa sesuai muka cantik indonesia classy ayu ayu bagaimana gitu
226,positive,lcb cantikk lcb untung dapat durian durian beuntung dapat neng lcb sakina mawaddah warahmah amin
227,positive,ganteng seragam ganteng panutan moga anak milik fisik elok mahluk allah ini
228,positive,untung deh dapat mas ganteng sholeh sayang ini suami idam moga samawa
229,positive,smoga mas agus pimpin datang salah pimpin sukses sukses dalam pimpin dalam rumah tangga
230,positive,dear bapak cra berpakain bapak cermin pribadi bapak sngt lembut tapi gagah moga bapak lurah dalam lindung allah swt salam hormat dari kagum bapak -
231,positive,sukses kak ayu moga senantiasa naung allah swt sehat amin
232,positive,smg sehat umur yah nek muda cantik mashaallahhh
233,positive,terimakasih pilih plataran darmawangsa acara staff plataran darmawangsa kes tunggu datang sehat amin amin rabbi
234,positive,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat r80 langsung klik link bio yaaa
235,positive,semangat eyang habibie sehat dalam lindung allah ambisi kuat dalam kereeeennnnn moga banyak penurus2 bangsa seperti eyang habibie
236,positive,milik cucu2 kebahagian nilai cucu sbg generasi terus bangsa
237,positive,wahhh kerenn tempat bagus nostalgia bersmaa
238,positive,cantik ganteng sehat bu ani
239,positive,barakallah cucu2 cantik ganteng moga anak sholeh sholeha bangga kelg
240,positive,bu cucu hati gembira ngangeni kadang kangen ceria salam kangen cucu2 cinta
241,positive,lucu ganteng parah gede pinternya ketulungan salam hormat bu
242,positive,terima kasih sby ani tani beliau kontribusi indonesia 10 pimpin moga bahagia sehat amin
243,positive,caption kali baca captionnya langsung ajar bahasa inggris terima kasih personal tidak kenal anie tapi betapa bangga anak cucu didik generasi bangsa mandiri unggul sehat moga cinta kasih engkau tebar
244,positive,assalamualaikum hormat salam banda aceh bangga bahagia sikap etika perilaku sungguh bijaksana mas agus suami calon presiden beliau bangga salam hangat kenal bu darmanto rapi photo studio
245,positive,senang lihat dan bapak sby nikmat tua brsama cucu cinta sehat terus memo dan pepo allah swt lindung memo dan pepo dan lurah
246,positive,semangat mebangun indonesia maju jokowi
247,positive,artis kualitas wajah itulohhh kualitas hihi cantik bangetsss top deh pakai drama gimick idupnya hihi kaya tapi sederhana
248,positive,via sptnya siyok kejam dunia artis an mudah2an tetep sabar tetep karya dengan
249,positive,suka via jujur tidak gimmick2an hidup bicara blak2an tidak suka dy bicara jadi pura2 munafik seperti ajar tua suka senyum palsu kaya artis onoh noh mulut lebar kya gorong2 tukang bohong munafik wartawan juga perilaku sama omong balance
250,positive,go head via cuekin aja sudah gaul dunia kerja masyarakat gaul ertong gatel bin sirik lihat sukses anggep kuman status neng bahan ngetawain
251,positive,gagah kali abang borisq gk bc nmx bner2 gk sadar it bang bor
252,positive,weewww bangga kali liat bang pakai baju adat biro syip
253,positive,bagus baju anti bahagia weding
254,positive,masyaallah bagus
255,positive,gileee suaraaanyaa kereen parah sukak
256,positive,keren dr nyanyi asli
257,positive,kereeeeeeeeeeeeeeennn sampai merinding brrrrr
258,positive,yatuhan suaranyaaaaaaa bagus bangetttttttt
259,positive,keren suara super merdu coba audisi nyanyi bakat bisa salur
260,positive,bagus drpd artis modal tampang doang pdhl suara jelek mending mas nyanyi emg dasar nasib yak gk tahu moga mas sukses
261,positive,dgrin sampai bulu kuduk saking bgusnya masyaallah apik suara
262,positive,subhanallah getar hati dengar suara
263,positive,allah suara bagus cantik idam cowo
264,positive,bagusss suara tampil sesuai anak sekolah natural sesuai usia
265,positive,kerennnn suara bagus
